Diferença (ts-tm) de 0 a 13,
ts °C,0,1,2,3,4,5,6,7,8,9,10,11,12,13
50,83.6,79.5,75.6,71.8,68.3,64.9,61.6,58.4,55.4,52.6,49.9,47.2,44.7,42.4
45,65.2,61.8,58.6,55.6,52.7,50.1,47.4,44.9,42.6,40.2,38.1,36,34.1,32
40,51.9,48.2,45.6,43.3,40.9,38.8,36.6,34.7,32.7,30.9,29.1,27.6,26,24.6
39,48.9,45.8,43.3,41.3,38.5,36.9,34.7,33.3,30.6,29.3,27.7,26.1,24.6,23.3
38,45.9,43.5,41.1,39.1,36,34.9,32.9,31.9,29.4,27.8,26.2,24.7,23.3,21.9
37,43.7,41.3,38.3,37.7,35,33.1,32,29.5,27.9,26.4,24.8,23.4,22,20.7
36,41.4,39.4,37.1,35.5,33.1,31.4,29.6,28,26.4,24.9,23.5,22.6,20.8,19.6
35,39.5,37.2,35.2,33.3,32.2,29.7,28.1,26.5,25,23.6,22.2,20.9,19.6,18.5
24,37.3,35.3,33.3,31.5,29.7,28.1,26.5,25,23.6,22.2,20.9,19.3,18.6,17.5
33,35.4,33.4,32.4,29.9,28.3,26.6,25.7,23.7,22.4,21,19.8,18.6,17.5,16.5
32,33.6,32.4,29.9,28.3,26.7,25.2,23.7,22.4,21.1,19.9,18.7,17.6,16.5,15.5
31,32.6,30.1,28.5,26.8,25.3,23.8,22.4,21.1,20,18.7,17.7,16.6,15.6,14.6
30,30.2,28.5,26.9,25.3,23.9,22.5,21.7,20,18.8,17.7,16.6,15.6,14.7,13.8
29,28.6,27,25.5,24,22.6,21.3,20,18.9,17.7,16.7,15.7,14.7,13.8,13
28,27.1,25.5,24.1,22.7,21.4,20.1,18.9,17.2,16.7,15.8,14.8,13.9,13.1,12.2
27,25.7,24.2,22.8,21.4,20.3,19.1,17.9,16.8,15.9,14.8,14,13.1,12.3,11.5
26,24.2,22.8,21.5,20.2,19.1,18,16.9,15.8,14.9,14,13.1,12.3,11.5,10.8
25,23,21.5,20.3,19.1,18,16.9,15.9,14.9,14.1,13.1,12.4,11.6,10.8,10.2
24,21.7,20.4,19.2,18.1,17,16,15.7,14,13.2,12.4,11.6,10.8,10.1,9.5
23,20.5,19.3,18.1,17,16,15,14.1,13.2,12.4,11.6,10.9,10.2,9.6,8.9
22,19.4,18.2,16.7,16,15.1,14.2,13.3,12.5,11.7,10.9,10.2,9.6,9,8.4
21,18.3,17.2,16.1,15.2,14.3,13.3,12.5,11.7,10.9,10.2,9.6,9,8.4,7.9
20,17.1,16.2,15.2,14.2,13.4,12.5,11.9,11,10.3,9.7,9.1,8.5,7.9,7.4
19,16.2,15.2,14.3,13.4,12.6,11.8,11.1,10.2,9.7,9,8.5,7.9,7.46,6.95
18,15.2,14.3,13.5,12.6,11.8,11.1,10.4,9.8,9.1,8.5,7.9,7.46,6.97,6.38
17,14.4,13.6,12.7,11.9,11.1,10.7,9.8,9.1,8.5,8,7.51,7.07,6.54,6.1
16,13.6,12.7,12,11.1,10.4,9.8,9.2,8.6,8,7.53,7.02,6.56,6.12,5.71
15,12.8,12,11.2,10.5,9.8,9.2,8.6,8,7.55,7.04,6.58,6.14,5.63,5.34
14,12,11.3,10.6,9.9,9.26,8.65,8.1,7.58,7.07,6.63,6.16,5.74,5.35,4.99
13,11.3,10.6,9.94,9.09,8.67,8.12,7.61,7.08,6.61,6.18,5.78,5.3,5.01,_
12,10.6,9.9,9.3,8.7,8.1,7.64,7.13,6.66,6.22,5.8,5.4,5.04,_,
11,10,9.3,8.5,8.1,7.64,7.15,6.67,6.23,5.8,5.41,5.04,_,,
10,9.39,8.79,8.21,7.68,7.17,6.7,6.25,5.83,5.44,5.06,_,,,
9,8.82,8.25,7.69,7.19,6.37,6.27,5.85,5.46,5.08,_,,,,
8,8.31,7.76,7.23,6.77,6.32,5.88,5.48,5.11,_,,,,,
7,7.77,7.25,6.77,6.17,5.89,5.5,5.12,_,,,,,,
6,7.27,6.79,6.34,5.91,5.51,5.14,_,,,,,,,
5,6.82,6.36,5.8,5.54,_,_,,,,,,,,
4,6.48,5.96,5.55,_,,,,,,,,,,
3,5.98,5.57,5.29,,,,,,,,,,,
2,5.95,5.21,_,,,,,,,,,,,
1,5.06,-,,,,,,,,,,,,
