P,tv,tl
3.8,3.3,0
4,3.9,0.5
4.3,4.4,1.1
4.5,5,1.6
4.8,5.5,2.1
5,6,2.8
5.2,6.6,3.3
5.4,7.1,3.9
5.5,7.7,4.4
5.7,8.3,5
6,8.8,5.5
6.1,9.3,6
6.2,10,6.6
7,11.1,7.1
7.2,11.6,7.3
7.3,12.2,8.8
7.4,12.8,9.3
7.8,13.3,10
8.1,14,10.5
8.5,14.4,11.1
8.9,15,11.6
9.2,15.5,12.2
9.5,16,12.8
9.7,16.6,13.3
10.2,16.7,14
10.5,17.7,14.4
10.9,18,15
11.3,18.8,15.5
12,19.4,16
12.4,20,16.6
12.7,20.5,16.7
13.3,21,17.7
13.5,21.6,18
13.7,22,18.8
14.1,22.8,19.4
15.1,23.3,20
15.5,24,20.5
15.9,25,21
16.2,25.5,21.6
16.9,26,22
17.6,26.5,22.8
18,27,23.3
18.7,28,24
19.4,29,24.5
20,29.5,25
20.4,30,25.5
21.8,31,26.5
22.7,31.5,27
23.2,32,28
23.9,32.5,29
24.7,33,29.5
25.4,34,30
26.4,34.6,30.5
27.5,35,31
28.2,35.5,31.5
28.8,36,32
29.9,36.5,32.5
30.6,37,33
31.3,37.5,34
32.4,38,34.5
33.5,38.5,35
34,39,35.5
35.3,40,36
36.7,40.5,36.5
37.78,41,37
38.84,42,37.5
